cluster_pred,review_id,text_en_only_rm_stopping,category,catid
0,24984,kayak instead bubble pop bubble bubblenya thinner kek weighing different finished drawing,Product-Spec,7
0,160759,buy flavors fitting open mouth complete contents bananas brown contents hehe udh diitung berkali curiosity turns hehe,Product-Spec,7
0,152802,honey rembes yes fitting date tasty little honey dpnnya pdhl packingny diperhatiin,Product-Spec,7
0,5875,lid gimna sihh check apa udah jauhh cap dlu gimna pke way plastic use,Product-Spec,7
0,59797,uda nyampe blanket wants ngado invitation wlwpun bit okay lah,Product-Spec,7
0,21628,glue tdak mnempel coud mean,Product-Spec,7
0,154822,brg abrasions bit broken lah,Product-Spec,7
0,108933,far secure safe use aja makes gmn kenyel mukaaaaaa,Product-Spec,7
0,167579,kirain big bag kayak photographed got bags reduce plastic consumption,Product-Spec,7
0,176833,dicantumin photo tray water turns superiors wrote water tray dapet,Product-Spec,7
0,202744,parahh sihh initially sempet doubt want buy fear fit bad turned good tuh real pict,Product-Spec,7
0,259,pazel slack roof rumah gabisa mounted loose sorry ajah yaa,Product-Spec,7
0,149852,memory create nyimpen,Product-Spec,7
0,178651,pesen pcs pcs pngemasan good aprox rest okay,Product-Spec,7
0,26234,eyeliner open sorry distinguished okee,Product-Spec,7
1,80374,product quality good good value,Product-Quality,1
1,160565,product quality good good value,Product-Quality,1
1,53643,product quality good good value,Product-Quality,1
1,78744,product quality good good value,Product-Quality,1
1,137118,product quality good good value,Product-Quality,1
1,135008,product quality good good value,Product-Quality,1
1,47018,product quality good good value,Product-Quality,1
1,110189,product quality good good value,Product-Quality,1
1,178737,good value product quality good,Product-Quality,1
1,99816,good value product quality good product quality good,Product-Quality,1
1,41509,product quality good good value,Product-Quality,1
1,31216,product quality good good value,Product-Quality,1
1,115918,good value product quality good,Product-Quality,1
1,72848,good value product quality good,Product-Quality,1
1,28981,product quality good good value,Product-Quality,1
2,3656,xxl fit hahaha lintek size goods quality use choose xxl sure big small,Product-Spec,7
2,89839,happy rght cause finally bracelet smaller size,Product-Spec,7
2,178924,successfully correspond specified size quality,Product-Spec,7
2,15931,size good tela nice feel bad customer,Product-Spec,7
2,77685,nice expected size need try good movement vibration underwater lockdown,Product-Spec,7
2,167587,size little smaller expected beautiful items,Product-Spec,7
2,155762,discrepancy actual size order versus size recieved supposed medium size send extra large,Product-Spec,7
2,184887,think initial large size turns smaller size overall pretty decent price,Product-Spec,7
2,3581,order king size arrive queen,Product-Spec,7
2,70363,nice quality mall choose size bigger,Product-Spec,7
2,3773,wrong size order receive small item,Product-Spec,7
2,24173,ketat small cutting wide legged size apapun cheap fast delivery seller,Product-Spec,7
2,33684,shoes arrives good condition size ngam,Product-Spec,7
2,3898,order box size different size,Product-Spec,7
2,22531,sizing small material comfy overall design nice,Product-Spec,7
3,77288,goods baek packing okay bit long response passable seller barng accordance picture description thxkyuu success selaluu,Service-Seller,2
3,118077,goods according description rapid process thank,Service-Seller,2
3,30318,goods accordance hrgx,Service-Seller,2
3,30898,seller sell goods accordance photos remain posted,Service-Seller,2
3,14365,goods accordance image,Service-Seller,2
3,57744,diameter right description durable semoga,Service-Seller,2
3,113202,quick response corresponding descriptions good seller deh,Service-Seller,2
3,184180,product accordance message accordance product,Service-Seller,2
3,169635,goods quickly accordance pesanan barangnya okay cacat semoga size fit,Service-Seller,2
3,184081,accordance banget picture,Service-Seller,2
3,67818,products accordance mantabb photo,Service-Seller,2
3,111184,steady okay goods corresponding color,Service-Seller,2
3,161636,packaging products upgraded appropriate description mantappp stuffing,Service-Seller,2
3,169111,accordance image fast response cash plug hard,Service-Seller,2
3,59409,according photos try okey delivery cepaat,Service-Seller,2
4,119794,product quality excellent original product delivery speed good response good seller,Mixed,6
4,195532,product quality excellent original product original product delivery speed good response good seller thx lot,Mixed,6
4,81004,product quality excellent original product delivery speed good response good seller,Mixed,6
4,205459,product quality excellent original product response good seller delivery speed good,Mixed,6
4,422,response good sellers product quality good products original speed delivery good,Mixed,6
4,84344,original product product quality excellent delivery speed good response good seller,Mixed,6
4,109348,product quality excellent original product delivery speed good response good seller,Mixed,6
4,52470,good product quality original product fast delivery good seller response,Mixed,6
4,179540,product quality excellent original product delivery speed good delivery speed good response good seller,Mixed,6
4,180228,product quality excellent original product delivery speed good response good seller,Mixed,6
4,135210,good product quality original products fast delivery good response,Mixed,6
4,182017,original product product quality excellent response good seller delivery speed good,Mixed,6
4,199028,product quality excellent original product delivery speed good response good seller,Mixed,6
4,132978,excellent product quality original product delivery speed good recommended seller mantul,Mixed,6
4,203533,original product response fast delivery,Mixed,6
5,121309,awesome awesome speed ship value,Shipping,3
5,186742,awesome awesome speed ship value awesome service,Shipping,3
5,76217,awesome awesome speed ship value,Shipping,3
5,143854,awesome speed ship awesome speed ship awesome value,Shipping,3
5,95781,awesome speed ship awesome speed ship awesome speed ship awesome speed ship awesome speed ship awesome speed ship awesome speed ship,Shipping,3
5,97778,awesome awesome speed ship value,Shipping,3
